Date,ID,Na,Mg,Al,Si,S,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Br,Pb,BC,PM 2.5
14/2/2017/,30k,0.0249559537477684,0.0098763293311145,0.0332264663551364,0.082250282990353,1.54448135226557,0.162333079331933,0.0643143494271755,0.00282998237172412,0.00166676401983201,0.00175556630015404,0.00184498994264446,0.0971373546850977,0.00065038184023284,0.00292389429110609,0.00878829035611527,0.00315629518001142,0.00852249285154867,2.08323472810342,16.8336684709998
16/2/2017/,31k,0.0482793994336346,0.0102517785721416,0.0373959489263305,0.10749426225362,1.36365340929327,0.242136105688261,0.103353785779311,0.00253499303355711,0.00945353296088837,0.00190596422875706,0.00595194496804532,0.108571796050519,0.0130275073222574,0.00411303081179542,0.0224321588612797,0.00450269720980945,0.0164237463582184,3.02810686323143,15.6186431651874
18/2/2017/,32k,0.0181860898465115,0.00365406111969283,0.00993871437668879,0.0219913543701264,0.23221531191171,0.0670597096406203,0.0158803144943065,0.000645939399667154,0.00133876368393409,0.0019400927313475,0.00268302584393165,0.0234355110100706,0.00132442073747101,0.00244584558024117,0.00547044387518161,0.00212013023912714,0.00562875719545803,1.73790587267831,4.15280667439083
20/2/2017/,33k,0.0195425496279619,0.00456103027956004,0.0357486553710832,0.06381619179376,0.759494402060147,0.155104912053451,0.042186170876874,0.0016140949736488,0.00322381444442716,0.00189717738571661,0.00286514303659245,0.0700418640569411,0.00485086658705291,0.00258268138537292,0.0138159853469143,0.00189674689803352,0.00500410265792611,2.45225135189737,13.2961478327642
22/2/2017/,34k,0.0498900649972891,0.00561226666180572,0.0174459750710748,0.0454392149173727,0.682099968483513,0.233623018588448,0.0438770339174626,0.00182491568995341,0.00760572721721321,0.00254869143921267,0.0061464589174384,0.0757081005155542,0.00415205096750764,0.00413072304801969,0.0216955894908996,0.00384686341421914,0.00929459172870555,3.37430606549172,19.6764790015589
24/2/2017/,35k,0.20335846943019,0.0385565066053418,0.0775009085113502,0.175238050671436,0.840298359842624,0.119964631247924,0.0433087697693466,0.00499627045530393,0.0123658615374048,0.00172197518345921,0.00217180187935537,0.0677989289349731,0.006586657431198,0.00179183761554584,0.00909376038157093,0.00349937069802333,0.00521275875103825,3.49406404348659,10.55797930834
26/2/2017/,36k,0.0257793779240226,0.00463364069055163,0.0102834839743386,0.0199826912105585,0.252590670774979,0.0723931182556905,0.0333701106097271,0.0010576406458747,0.0027703135499133,0.00110411265034526,0.00193670439458485,0.0203136976431835,0.00210172806555431,0.00157494992549502,0.00269325026221809,0.00133796071879416,0.00350457337412155,1.8849225177148,4.37665563209135
28/2/2017/,37k,0.322606737021322,0.102584186471734,0.3746204867837,0.8225216151771,2.09532803567755,0.168581525283106,0.189132254314397,0.0236730740740706,0.0303274455371803,0.00200748724785236,0.00375926835556154,0.216226078416992,0.0184719512701532,0.00183894364964282,0.0106506586621959,0.00438284685971162,0.00472370214640368,2.73733443829977,18.6156982921152
2/3/2017/,38k,0.15917335886267,0.0247993030267522,0.020408231747512,0.0385802716431518,0.408204960982454,0.126282720375687,0.0376187678690947,0.00225537078015425,0.00577061787291216,0.00170274111986882,0.0019980313961494,0.0401526987125526,0.00334244767631216,0.00205665563178298,0.00724464958633841,0.00269700133253724,0.00419514429212903,2.53579676173715,6.41628019272298
4/3/2017/,39k,0.651483665851785,0.096977926594015,0.0585351204159681,0.105451374907346,0.726150705383834,0.16155525371204,0.0702020261931999,0.00233562120382495,0.0083389788418354,0.00222281233139572,0.00191655925408042,0.0430342936683618,0.00463287282545959,0.00217109923347984,0.0107802552857538,0.00719172377682125,0.00539539575617445,3.31962429983803,12.4495974386054
6/3/2017/,41k,0.33270069496421,0.0547709594068979,0.54400046095369,0.656900606578642,0.264328646405535,0.0627570914726079,0.0401930997238522,0.0126311524217653,0.0155507979467103,0.00198332110831361,0.00182086599454551,0.0464110153215565,0.00923203469861152,0.00169881724906024,0.00955368267839635,0.00366218610549887,0.00428766892824104,3.74079446475907,11.6016715246364
8/3/2017/,40k,0.0136499413139077,0.00409502448301613,0.00883435823451451,0.0174263211182367,1.2424638513951,0.0450884554707376,0.0322352568616625,0.00109397937173721,0.000892968767446798,0.0019237262848569,0.00188013319004454,0.0219833236849967,0.00111886932576532,0.00168810024263433,0.00532626639606748,0.00179973319876604,0.00474205789212796,2.15489471443883,3.41129314477135
